model,threshold,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
none,0.005,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.01,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.0141,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.02,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.03,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.04,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.05,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.1,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.2,fn,86.0,none,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.005,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,test_neg_rate,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.01,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.0141,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.02,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.03,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.04,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.05,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.1,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
none,0.2,test_neg_rate,1.0,none,0,1.0,1.0,1.0,1.0
all,0.005,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,tn_rate,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.01,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.0141,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.02,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.03,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.04,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.05,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.1,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
none,0.2,tn_rate,0.9828,none,0,0.97899,0.9864,0.97899,0.9864
all,0.005,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,fn_rate,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.01,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.0141,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.02,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.03,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.04,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.05,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.1,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.2,fn_rate,0.0172,none,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.005,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.01,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.0141,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.02,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.03,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.04,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.05,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.1,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
all,0.2,pp1000,1000.0,all,0,1000.0,1000.0,1000.0,1000.0
none,0.005,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,pp1000,0.0,none,0,0.0,0.0,0.0,0.0
all,0.005,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,pn1000,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
none,0.01,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
none,0.0141,pn1000,1000.0,none,0,1000.0,1000.0,1000.0,1000.0
