sens,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.8,tn1000,748.8000000000001,fit,0,693.985,842.265,693.985,842.265
0.5,tn1000,920.8,fit,0,892.4949999999999,942.105,892.4949999999999,942.105
0.99,fn1000,0.17199999999999993,fit,0,0.13600000000000134,0.2101000000000008,0.13600000000000134,0.2101000000000008
0.95,fn1000,0.8599999999999994,fit,0,0.6800000000000012,1.0505000000000013,0.6800000000000012,1.0505000000000013
0.9,fn1000,1.7199999999999989,fit,0,1.3599999999999994,2.1009999999999986,1.3599999999999994,2.1009999999999986
0.85,fn1000,2.580000000000001,fit,0,2.0400000000000005,3.151500000000001,2.0400000000000005,3.151500000000001
0.813953488372093,fn1000,3.2,fit,0,3.2,3.2,3.2,3.2
0.8,fn1000,3.440000000000001,fit,0,2.719999999999999,4.201999999999998,2.719999999999999,4.201999999999998
0.5,fn1000,8.6,fit,0,6.8,10.504999999999999,6.8,10.504999999999999
0.99,max_sens,0.9883720930232558,fit,0,0.959110576923077,0.9900519801980198,0.959110576923077,0.9900519801980198
0.95,max_sens,0.9883720930232558,fit,0,0.959110576923077,0.9900519801980198,0.959110576923077,0.9900519801980198
0.9,max_sens,0.9883720930232558,fit,0,0.959110576923077,0.9900519801980198,0.959110576923077,0.9900519801980198
0.85,max_sens,0.9883720930232558,fit,0,0.959110576923077,0.9900519801980198,0.959110576923077,0.9900519801980198
0.813953488372093,max_sens,0.9883720930232558,fit,0,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.9883720930232558
0.8,max_sens,0.9883720930232558,fit,0,0.959110576923077,0.9900519801980198,0.959110576923077,0.9900519801980198
0.5,max_sens,0.9883720930232558,fit,0,0.959110576923077,0.9900519801980198,0.959110576923077,0.9900519801980198
0.99,thr,0.00166239082342305,fit-age-sex-bloods,0,0.00166239082342305,0.0065655865797758,0.00166239082342305,0.0065655865797758
0.95,thr,0.0065655865797758,fit-age-sex-bloods,0,0.00254933572805575,0.0108642519364084,0.00254933572805575,0.0108642519364084
